ID	logFC	PValue
hsa-miR-183*	4.9	7.80E-13
hsa-miR-301b	3.14	2.03E-12
hsa-miR-182*	2.62	5.88E-11
hsa-miR-182	5.94	4.41E-11
hsa-miR-4286	2.71	8.68E-11
hsa-miR-720	2.35	2.33E-10
hsa-miR-1280	1.74	1.58E-08
hsa-miR-1260	1.88	2.64E-08
hsa-miR-200c*	2.94	3.33E-08
hsa-miR-1274b_v16.0	1.74	4.99E-08
hsa-miR-486-5p	-2.83	7.11E-08
hsa-miR-545	2.08	7.06E-08
hsa-miR-1274a_v16.0	2.1	1.37E-07
hsa-miR-1260b	1.27	4.81E-07
hsa-miR-425	1.88	7.80E-07
hsv1-miR-H6-3p	2.54	2.04E-06
hsa-miR-127-3p	-1.55	2.54E-06
hsa-miR-130b	1.08	2.86E-06
hsa-miR-370	-3.59	3.23E-06
hsa-miR-301a	4.6	3.05E-06
hsa-miR-33b	2.3	3.21E-06
hsa-miR-492	2.62	3.49E-06
hsa-miR-93*	1.71	4.04E-06
hsa-let-7a*	2.95	4.61E-06
hsa-miR-210	2.32	5.47E-06
hsa-miR-32*	2.35	4.95E-06
hsv1-miR-H1*	2.5	5.06E-06
ebv-miR-BART12	4.03	1.58E-05
hsa-miR-125b-2*	-1.14	1.85E-05
hsa-miR-339-5p	1.9	2.40E-05
hsa-miR-145	-1.05	2.09E-05
hsv2-miR-H9-5p	-3.63	3.72E-05
hsa-miR-106b	1.31	2.91E-05
hsa-miR-629*	2.95	3.70E-05
hsa-miR-592	1.81	3.55E-05
hsa-miR-3923	1.98	4.10E-05
hsa-miR-378	-1.04	5.89E-05
hsa-miR-21*	1.8	6.69E-05
hsa-miR-629	2.76	7.41E-05
hsa-miR-99a	-1.19	4.69E-05
hsa-miR-7	4.44	8.22E-05
hsa-miR-181a*	3.05	9.16E-05
hsa-miR-125b	-1.14	4.86E-05
hsa-miR-21-5p	1.46	4.64E-05
hsa-miR-3907	2.33	1.21E-04
hsa-miR-381	-1.85	1.54E-04
hsa-miR-654-5p	-2.48	1.73E-04
hsa-miR-382	-2	1.75E-04
hsa-miR-1307	2.62	1.82E-04
hsa-miR-7-1*	3.86	2.27E-04
hsa-miR-550a*	2.81	2.18E-04
hsv1-miR-H15	2.14	2.44E-04
ebv-miR-BART7	-3.63	2.46E-04
hsa-miR-1261	1.25	1.51E-04
hsa-miR-340	3.37	2.88E-04
hsa-miR-766	1.35	2.91E-04
hsa-miR-18b	3.35	3.16E-04
hsa-miR-422a	-2.82	3.22E-04
hsa-miR-885-5p	1.77	2.29E-04
hsa-miR-140-3p	-7.09E-01	2.80E-04
hsa-miR-630	-2.58	3.56E-04
hsa-miR-92b	1.52	2.93E-04
hsa-miR-141	2.78	3.18E-04
hsa-miR-185	8.27E-01	4.26E-04
hsa-miR-2278	1.18	2.85E-04
hsa-miR-548c-5p	1.23	3.19E-04
hsa-miR-183-5p	3.96	5.29E-04
hsa-miR-141*	3.34	5.87E-04
hsa-miR-432	-2.35	5.72E-04
hsa-miR-451	-2.13	2.34E-04
hsa-miR-203	3.49	6.45E-04
hsa-miR-4261	2.81	6.51E-04
hsa-miR-4304	-3.25	7.07E-04
hsa-miR-29c	1.7	3.99E-04
hsa-miR-3713	-3.39	7.16E-04
hsa-miR-3163	-2.55	7.26E-04
hsa-miR-16-2*	2.39	7.44E-04
hsa-miR-93	9.70E-01	5.28E-04
hsa-miR-662	-2.92	8.51E-04
hsa-miR-200a*	2.69	8.53E-04
hsa-miR-2115	1.4	4.79E-04
hsa-miR-135a*	-1.91	7.65E-04
hbv-miR-B20	-3.32	9.33E-04
hsa-miR-214	-9.25E-01	5.78E-04
hsa-miR-483-5p	-1.44	7.31E-04
hsa-miR-373*	2.47	1.21E-03
hsa-miR-18a	3.52	1.24E-03
hsa-miR-4254	1.67	7.23E-04
hsa-miR-3131	-3.59	1.17E-03
hsa-miR-33a	3.06	1.28E-03
hsa-miR-19a	2.23	1.12E-03
hsa-miR-3162-5p	-1	8.23E-04
hsa-miR-194	2.8	1.48E-03
hsa-miR-3692*	-3.79	1.54E-03
hsa-miR-1275	-1.28	1.04E-03
hsa-miR-718	-2	1.49E-03
hsa-miR-96-5p	4.14	1.53E-03
hsa-miR-491-3p	8.72E-01	8.20E-04
hsa-miR-575	-1.27	1.27E-03
hsa-miR-320c	-8.13E-01	1.18E-03
hsa-miR-671-5p	-1.79	1.68E-03
hsa-miR-139-5p	-1.87	1.89E-03
hsa-miR-181d	1.1	2.11E-03
hsa-miR-1181	-1.01	1.90E-03
hsa-miR-516b	-2.27	2.44E-03
hsa-miR-517b	-2.82	2.50E-03
hsa-miR-491-5p	6.93E-01	1.04E-03
hsa-miR-338-3p	2.46	2.67E-03
hsa-miR-34a*	2.84	2.84E-03
hsa-miR-3148	1.24	1.38E-03
hsa-miR-664	1.2	2.72E-03
hsa-miR-490-5p	-2.45	3.07E-03
hsa-miR-429	3.48	2.74E-03
hsa-miR-513b	-2.16	3.00E-03
hsa-miR-449b	9.37E-01	1.44E-03
hsa-miR-449a	3.42	2.91E-03
hsa-miR-485-5p	-2.32	3.49E-03
hsa-miR-200b	2.97	2.33E-03
hsa-miR-517a	-2.75	3.54E-03
hsa-miR-190	-8.10E-01	2.80E-03
hsa-miR-517c	-7.65E-01	2.84E-03
ebv-miR-BART3*	9.73E-01	1.73E-03
hsa-miR-205*	2.78	4.25E-03
hsa-miR-3137	-2.01	3.74E-03
hsa-miR-29a*	1.26	3.22E-03
hsa-miR-378*	-2.25	4.20E-03
hsa-miR-103a	7.42E-01	2.26E-03
hsa-miR-497	-1.1	2.30E-03
hsa-miR-331-3p	1.15	3.00E-03
hsa-miR-188-5p	-1.26	3.33E-03
hsa-miR-151-3p	6.84E-01	3.68E-03
hsa-miR-3198	-1.28	3.25E-03
hsa-miR-762	-1.07	3.08E-03
hsa-miR-769-5p	7.76E-01	4.88E-03
hsa-let-7b*	1.13	2.62E-03
hsa-miR-200c	2.01	3.36E-03
hsa-miR-3138	-1.75	4.89E-03
hsa-miR-1229	-1.88	5.96E-03
hsa-miR-149	2.48	6.11E-03
hsa-miR-1273c	-3.04	6.45E-03
hsa-miR-191	8.30E-01	2.61E-03
hsa-miR-362-3p	2.67	6.69E-03
hsa-miR-520h	-3.91E-01	3.48E-03
hsa-miR-508-5p	-2.6	6.95E-03
hsa-miR-1471	-2.89	6.46E-03
hsv1-miR-H17	-1.17	5.22E-03
hsa-miR-3136-5p	1.05	3.09E-03
hsa-miR-142-5p	2.57	6.72E-03
hsa-miR-30d*	2.1	7.57E-03
hsa-miR-138	-1.25	6.19E-03
hsa-miR-520c-3p	-5.64E-01	4.59E-03
hsa-miR-1244	5.09E-01	2.30E-03
hsa-miR-2276	-2.12	6.48E-03
hsa-miR-3648	-1.75	6.95E-03
hsa-miR-1202	-1.23	3.21E-03
hsa-miR-519b-3p	-5.08E-01	5.95E-03
hsa-miR-874	-5.10E-01	7.90E-03
hsa-miR-642b	-1.18	6.98E-03
hsa-miR-101	1.35	7.45E-03
hsa-miR-409-3p	-1.72	9.53E-03
ebv-miR-BART19-3p	-2.47	9.88E-03
hsa-miR-219-5p	1.99	1.02E-02
hsa-miR-4252	9.07E-01	4.75E-03
hsa-miR-3190	-2.39	1.30E-02
hsa-miR-132	-8.55E-01	9.35E-03
hsa-miR-29b	1.5	7.02E-03
hsa-miR-3679-5p	-1.05	7.48E-03
hsa-miR-516a-5p	-2.32	1.31E-02
hsa-miR-466	1.15	5.46E-03
hsa-miR-590-5p	2.21	1.18E-02
hsa-miR-377*	-1.83	1.32E-02
hsa-miR-574-3p	8.00E-01	9.85E-03
hsa-miR-190b	7.76E-01	4.71E-03
hsa-miR-154	-1.64	1.18E-02
hsa-miR-433	-2.23	1.39E-02
hsv2-miR-H6*	1.16	5.96E-03
hsa-miR-3607-3p	2.27	1.49E-02
hiv1-miR-TAR-3p	6.99E-01	4.86E-03
hcmv-miR-UL36	-1.19	1.26E-02
hsa-miR-107	7.82E-01	7.42E-03
hsa-miR-520b	-2.5	1.56E-02
hsa-miR-4311	-8.50E-01	1.09E-02
hsa-miR-339-3p	1.31	1.69E-02
hsa-miR-3149	2.17	1.29E-02
hsa-miR-200b*	1.81	1.60E-02
hsa-miR-877*	1.57	1.85E-02
hsa-miR-374c	1.75	1.87E-02
hsa-miR-34b*	2.14	1.57E-02
hsa-miR-582-5p	2.75	1.88E-02
hsa-miR-1273e	-1.77	1.67E-02
hsa-miR-148a*	1.55	1.64E-02
hsa-miR-29b-2*	6.54E-01	6.02E-03
hsa-miR-1301	1.09	1.19E-02
hsa-miR-670	9.14E-01	7.17E-03
hsa-miR-139-3p	-1.01	1.72E-02
hsa-miR-196a	1.92	1.55E-02
hsa-miR-1182	-2.38	1.95E-02
hsa-miR-200a	3.03	1.46E-02
hsa-miR-454	2.4	2.09E-02
hsa-miR-32	2.34	2.10E-02
hsa-miR-204	-2.39	2.09E-02
hsa-miR-25*	5.00E-01	6.03E-03
hsa-miR-134	-8.49E-01	1.49E-02
hsa-miR-181b	6.44E-01	1.63E-02
hsa-miR-192	2.36	2.28E-02
hsa-miR-1973	1.01	1.80E-02
hsa-miR-375	3.51	2.18E-02
hsa-miR-299-3p	-2.23	2.61E-02
hsa-miR-3622a-5p	-1.62	2.46E-02
hsa-miR-431*	2.11	2.44E-02
hbv-miR-B2RC	-1.54	2.21E-02
hsa-miR-654-3p	-1.59	2.22E-02
hsa-miR-374a	2.41	2.17E-02
hsa-miR-181c*	1.74	2.83E-02
hsa-miR-500a*	5.58E-01	2.42E-02
hsa-miR-765	-1.36	2.13E-02
hsa-miR-320b	-6.22E-01	1.33E-02
hsa-miR-543	-1.94	3.00E-02
hsa-miR-3200-3p	7.06E-01	9.33E-03
hsa-miR-15a*	8.77E-01	1.55E-02
hsa-miR-193a-3p	8.67E-01	1.93E-02
hsa-miR-320d	-5.83E-01	1.33E-02
hsa-miR-99b*	-1.53	3.13E-02
hsa-miR-3652	-1.19	2.36E-02
hsa-miR-299-5p	-2.21	2.81E-02
hsa-miR-887	-1.48	3.01E-02
hsa-miR-374b	2.06	2.67E-02
kshv-miR-K12-3	-9.65E-01	1.74E-02
hsa-miR-24-1*	2.07	3.46E-02
hsa-miR-184	2.83	3.16E-02
hsa-miR-623	-1.74	3.17E-02
hsa-let-7c	-6.14E-01	1.05E-02
kshv-miR-K12-5*	-2.24	3.59E-02
hsa-miR-323-3p	-1.92	3.46E-02
hsa-miR-149*	-1.77	3.63E-02
hsa-miR-564	-1.1	3.13E-02
hsa-miR-455-5p	1.93	3.70E-02
hcmv-miR-UL70-3p	-1.06	2.24E-02
hsa-miR-320a	-5.73E-01	2.02E-02
kshv-miR-K12-7*	-2.34	3.29E-02
hsa-miR-2116*	5.75E-01	1.04E-02
hsa-miR-4294	-1.9	3.98E-02
hsa-miR-198	-1.9	3.40E-02
hsa-miR-939	-9.33E-01	2.13E-02
hsa-miR-4323	9.98E-01	4.11E-02
hsa-miR-20b	1.48	2.91E-02
kshv-miR-K12-10a*	8.95E-01	1.39E-02
hsa-miR-320e	-5.50E-01	1.89E-02
hsa-miR-199a-5p	-5.48E-01	1.68E-02
hsa-miR-128	1.6	3.58E-02
hsa-miR-889	-2.45E-01	1.35E-02
hsa-miR-197	6.67E-01	3.18E-02
hsa-miR-892b	1.71	4.47E-02
hsa-miR-449c*	7.45E-01	1.37E-02
hsa-miR-1295	-1.46	4.04E-02
hsa-miR-361-3p	6.86E-01	3.35E-02
hsa-miR-3917	-1.7	3.85E-02
hsa-miR-3651	7.01E-01	3.05E-02
hsa-miR-648	-1.71	4.74E-02
hsa-miR-1825	8.59E-01	4.36E-02
hsa-miR-660	9.02E-01	3.49E-02
hsa-miR-215	2.44	4.85E-02
hsa-miR-4290	8.65E-01	1.54E-02
hsa-miR-449b*	8.59E-01	1.54E-02
hsa-miR-487a	-1.65	4.82E-02
hsa-miR-330-3p	1.52	4.82E-02
hur_2	1.26E-01	3.86E-03
hur_1	-1.26E-01	4.48E-03
hur_5	4.98E-01	3.16E-02
hsa-miR-3180-3p	-1.74	4.90E-02
hsa-miR-376a	-1.2	3.13E-02
hsa-miR-340*	2.03	5.19E-02
hsa-miR-584	-1.84	4.94E-02
hsa-miR-30e	6.60E-01	2.90E-02
ebv-miR-BART10	6.91E-01	1.54E-02
hsa-miR-410	-1.91	4.78E-02
hsa-miR-4313	8.31E-01	4.60E-02
hsa-miR-4299	-7.55E-01	2.67E-02
hsa-miR-1183	-1.51	4.41E-02
hsa-miR-3667-5p	-2.14	5.13E-02
hsa-miR-3682-3p	-1.91	5.55E-02
hsa-miR-542-5p	-1.33	4.62E-02
hsa-miR-326	1.42	6.04E-02
hsa-miR-125a-5p	6.95E-01	3.63E-02
hsv2-miR-H3	-1.77	6.29E-02
hsa-miR-484	1.03	5.75E-02
hsa-miR-10b*	-1.61	6.39E-02
hsv1-miR-H18	4.42E-01	4.47E-02
hsa-miR-411	-1.89	6.88E-02
hsa-miR-595	1.47	5.10E-02
hsa-miR-3141	-7.28E-01	4.21E-02
hsa-miR-3666	-4.39E-01	3.19E-02
hsa-miR-627	1.41	7.69E-02
hsa-miR-92a	-5.13E-01	3.32E-02
hsa-miR-532-5p	4.81E-01	5.68E-02
hsa-miR-142-3p	1.08	4.10E-02
hsa-miR-487b	-8.89E-01	5.64E-02
hsa-miR-1225-5p	-9.78E-01	2.76E-02
hsa-miR-4314	-1.79	7.61E-02
hsv1-miR-H6-5p	-9.78E-01	5.82E-02
hsa-miR-129-3p	-1.5	8.17E-02
hbv-miR-B4	-1.66	8.44E-02
hsa-miR-4269	-1.63	8.24E-02
hsa-miR-100	-6.45E-01	3.59E-02
hsa-miR-22*	1.66	8.02E-02
hsa-miR-3680*	-1.5	8.28E-02
hsa-miR-1234	4.90E-01	6.75E-02
hsa-miR-512-3p	-1.71	8.82E-02
hsa-miR-3937	-1.52	7.06E-02
hsa-miR-329	-1.32	7.16E-02
hcmv-miR-US4	-1.86	8.09E-02
hsa-miR-106b*	3.50E-01	1.57E-02
hsa-miR-3663-3p	-7.32E-01	5.10E-02
hsa-miR-3622b-5p	-1.62	9.56E-02
hsa-miR-760	-1.44	9.18E-02
hsa-miR-34a	7.77E-01	3.73E-02
hsa-miR-519e*	-1.36	9.16E-02
hsa-miR-335*	-1.75	9.42E-02
hsa-miR-362-5p	4.70E-01	7.36E-02
hsa-miR-513c	-1.68	9.22E-02
hsa-miR-605	1.66	1.01E-01
hsa-miR-3621	-1.64	1.00E-01
hsa-miR-3187-3p	-1.33	8.64E-02
hsa-miR-17	7.37E-01	5.06E-02
hsa-miR-126*	1.82	9.53E-02
hsa-miR-181c	7.10E-01	7.28E-02
hsa-miR-493	-1.28	9.60E-02
hsa-miR-135b	2.06	1.05E-01
dmr_3	-5.40E-01	1.80E-02
hsa-miR-23a*	-1.12	9.77E-02
hsa-miR-19b	8.05E-01	3.94E-02
hsa-miR-135a	7.08E-01	2.91E-02
hsa-miR-3188	5.53E-01	8.40E-02
hsa-miR-934	-1.44	1.16E-01
hsa-miR-3915	-1.26	9.42E-02
hsa-miR-193a-5p	-3.16E-01	6.87E-02
hsa-miR-186	3.28E-01	7.54E-02
hsa-miR-19b-1*	1.08	1.21E-01
hsa-miR-1287	4.14E-01	2.28E-02
mr_1	3.73E-01	3.09E-02
hsa-miR-3679-3p	1.01	1.04E-01
hsa-miR-3619-5p	-5.80E-01	6.32E-02
hsa-miR-769-3p	-1.1	1.37E-01
hsa-miR-3945	-1.64	1.35E-01
hsa-miR-4251	-1.34	1.41E-01
hsa-miR-3194-5p	-1.06	9.71E-02
hsa-miR-513a-5p	-9.27E-01	9.44E-02
hsa-miR-583	-1.14	1.35E-01
hsa-miR-744	1.15	1.30E-01
hsa-miR-3935	1.57	1.37E-01
hsa-miR-4324	-6.35E-01	9.48E-02
hsa-miR-1207-5p	-7.49E-01	4.72E-02
hsa-miR-342-5p	1.28	1.02E-01
hsa-miR-379	-1.34	1.15E-01
hsa-miR-526b	-1.22	1.52E-01
hsa-miR-625*	4.07E-01	2.74E-02
hsa-miR-1291	-1.07	1.37E-01
hsa-miR-937	5.70E-01	3.42E-02
hsa-miR-3185	-1.11	1.45E-01
hsa-miR-342-3p	8.35E-01	5.98E-02
kshv-miR-K12-12*	5.96E-01	3.66E-02
hsa-miR-1268	-5.88E-01	7.39E-02
hsa-miR-509-3-5p	-1.03	1.23E-01
hsv2-miR-H22	-8.92E-01	1.00E-01
hsa-miR-502-5p	1.22	1.69E-01
hsa-miR-650	1.26	1.53E-01
hsa-miR-501-5p	-7.21E-01	1.51E-01
hsv2-miR-H9-3p	5.92E-01	3.76E-02
hsa-miR-3659	-1.34	1.71E-01
hsa-miR-24	2.63E-01	5.11E-02
hsa-miR-601	-1.38	1.36E-01
hsa-miR-1226*	-8.74E-01	1.28E-01
hsa-miR-514b-5p	-1.16	1.33E-01
hsa-miR-625	1.31	1.49E-01
hsa-miR-29b-1*	1.19	1.71E-01
hsa-miR-602	1.28	1.81E-01
hsa-miR-550a	-1.04	1.89E-01
hsa-miR-199b-5p	-8.65E-01	6.89E-02
hsa-miR-1224-5p	-4.38E-01	1.08E-01
hsa-miR-193b*	-6.43E-01	1.39E-01
hsa-miR-4284	1.02	6.58E-02
hsa-miR-424	-7.69E-01	8.09E-02
hsa-miR-424*	-9.89E-01	1.74E-01
hsa-miR-936	-1.46	1.88E-01
hsv1-miR-H3	-1.07	1.56E-01
bkv-miR-B1-5p	-1.27	1.79E-01
hsa-miR-4317	1.02	1.65E-01
hsa-miR-223*	4.68E-01	4.10E-02
hsa-miR-378c	-9.99E-01	1.91E-01
hsa-miR-376a*	-1.17	2.02E-01
hsa-miR-656	-2.53E-01	5.00E-02
hsa-miR-615-3p	1.01	1.77E-01
hsa-miR-4306	2.69E-01	1.08E-01
hsa-miR-539	-9.88E-01	2.08E-01
hsv2-miR-H6	-5.18E-01	1.18E-01
kshv-miR-K12-7	-2.47E-01	5.05E-02
hsa-miR-30c-1*	-6.55E-01	2.01E-01
hsa-miR-645	-1.36	1.96E-01
hsa-miR-3656	-5.77E-01	9.21E-02
hsv1-miR-H16	-1.41	2.04E-01
hsa-miR-1323	-1.03	1.90E-01
hsa-miR-30b*	3.98E-01	1.86E-01
hsa-miR-1281	7.28E-01	1.89E-01
hsa-miR-224	-1.27	1.38E-01
hsa-miR-409-5p	-1.11	2.23E-01
hsa-miR-212	8.12E-01	1.82E-01
hsa-miR-452	-1.25	1.75E-01
hsa-miR-144*	-1.46	2.22E-01
hsa-miR-148b	5.92E-01	1.34E-01
hsa-miR-4298	-6.26E-01	1.18E-01
hsa-miR-337-5p	-1.2	2.09E-01
hsa-miR-337-3p	-1.17	2.33E-01
hsa-miR-4322	-1.21	2.17E-01
hsa-miR-1914*	-4.03E-01	1.32E-01
hsa-miR-663	-6.50E-01	1.27E-01
hsa-miR-4291	7.09E-01	1.77E-01
hsa-miR-132*	-1.02	2.37E-01
hsa-miR-519d	-2.18E-01	5.48E-02
hsa-miR-3147	-1.12	2.38E-01
hsa-miR-365*	-1.01	2.54E-01
hsa-miR-29c*	9.62E-01	1.66E-01
hsa-miR-1208	-1.02	2.68E-01
hsa-miR-502-3p	2.95E-01	1.91E-01
hsa-miR-3174	1.05	2.75E-01
hsa-miR-3121-3p	7.42E-01	1.34E-01
hsa-miR-503	-7.98E-01	2.25E-01
hsa-miR-488	-9.09E-01	1.84E-01
hsa-miR-345	-9.94E-01	2.68E-01
hsa-miR-26a-1*	2.94E-01	3.46E-02
hsa-miR-711	-1.17	2.93E-01
hsa-miR-33b*	6.15E-01	2.77E-01
hsa-miR-181a-2*	8.03E-01	2.88E-01
hsa-let-7d*	8.29E-01	1.60E-01
hsa-miR-1273d	-1.05	3.04E-01
hsa-miR-1539	8.31E-01	2.27E-01
hsa-miR-1254	-2.55	2.65E-01
kshv-miR-K12-10b	-7.37E-01	2.97E-01
hsa-miR-515-3p	-1.94E-01	5.14E-02
hsa-miR-4271	-4.04E-01	1.61E-01
hsa-miR-95	1.23	2.78E-01
hsa-miR-369-5p	-9.72E-01	3.09E-01
hsa-miR-622	-1.18	2.40E-01
hsa-miR-125a-3p	-5.23E-01	1.71E-01
hsa-miR-30e*	9.68E-01	2.09E-01
hsa-miR-328	9.45E-01	3.30E-01
ebv-miR-BART16	9.73E-01	3.15E-01
hsa-miR-4253	-1.09	3.26E-01
hsa-miR-518c*	-6.12E-01	1.76E-01
hsa-miR-921	-5.93E-01	1.89E-01
hsa-miR-489	9.84E-01	2.94E-01
hsa-miR-1469	-8.46E-01	3.43E-01
hsa-miR-3202	-1.04	3.02E-01
hsa-miR-522	-2.06E-01	6.46E-02
hsa-miR-99b	3.08E-01	1.56E-01
hsa-miR-663b	8.47E-01	2.93E-01
hsa-miR-423-5p	-2.72E-01	1.88E-01
hsa-miR-298	-1.19	2.38E-01
hsa-miR-195*	-6.27E-01	3.55E-01
hsa-miR-501-3p	5.91E-01	3.26E-01
hsa-miR-1321	-8.47E-01	3.79E-01
hsa-miR-3122	-2.03E-01	6.58E-02
hsa-miR-1303	-1.25	2.55E-01
hsa-miR-3607-5p	9.36E-01	3.76E-01
hsa-miR-3605-5p	-8.46E-01	4.06E-01
hsa-miR-214*	-8.62E-01	2.94E-01
hsa-miR-628-3p	5.32E-01	2.16E-01
ebv-miR-BART4	3.76E-01	5.33E-02
hsa-miR-4260	-6.77E-01	3.80E-01
hsa-miR-3940-3p	5.16E-01	6.68E-02
hsa-miR-770-5p	7.20E-01	4.08E-01
hsa-miR-3934	-8.59E-01	3.14E-01
hsa-miR-376b	-7.69E-01	4.23E-01
hsa-miR-3189-3p	-7.01E-01	3.26E-01
hsa-miR-4274	7.05E-01	1.68E-01
hsa-miR-9*	-9.31E-01	4.21E-01
hsa-miR-1271	-7.53E-01	3.89E-01
hsa-miR-1299	-7.79E-01	4.46E-01
hsa-miR-29a	4.12E-01	9.45E-02
hsa-miR-421	6.10E-01	2.44E-01
hsa-miR-125b-1*	-7.43E-01	4.00E-01
hsa-miR-628-5p	6.99E-01	3.76E-01
hsa-miR-3620	7.49E-01	3.80E-01
hsa-miR-296-5p	-5.08E-01	3.80E-01
hsa-miR-1296	4.94E-01	7.03E-02
hsa-miR-195	-7.79E-01	1.12E-01
hsa-miR-3161	-6.68E-01	4.83E-01
hsa-miR-3675-3p	6.43E-01	3.58E-01
hsa-miR-631	7.50E-01	4.36E-01
hsa-miR-4257	-5.27E-01	2.82E-01
hsa-miR-652	6.53E-01	3.41E-01
hsa-miR-127-5p	-2.65E-01	9.88E-02
hsa-miR-3177-3p	-5.88E-01	2.83E-01
hsa-miR-3926	-6.29E-01	3.42E-01
hsa-miR-31	-6.23E-01	2.84E-01
hsa-miR-3186-3p	-7.52E-01	2.47E-01
hsa-miR-1180	-6.72E-01	5.00E-01
hsa-miR-148a	7.15E-01	1.57E-01
hsa-miR-154*	7.23E-01	5.08E-01
hsa-miR-150	-1	1.60E-01
hsa-miR-659	-7.80E-01	4.99E-01
hsa-miR-1285	5.15E-01	4.76E-01
hsa-miR-542-3p	8.13E-01	4.37E-01
hsa-miR-520e	-8.66E-01	2.98E-01
hsa-miR-4327	-3.79E-01	2.67E-01
hsa-miR-23b*	4.32E-01	5.43E-01
hsa-miR-532-3p	2.62E-01	3.52E-01
hcmv-miR-UL112	-1.43	3.61E-01
hsa-miR-99a*	-5.40E-01	3.48E-01
hsa-miR-199a-3p	-6.12E-01	1.04E-01
hsa-miR-4270	-6.67E-01	1.61E-01
hsa-miR-218	9.24E-01	3.57E-01
hsa-miR-548q	-7.09E-01	4.79E-01
hsa-miR-566	-5.10E-01	4.62E-01
hsa-miR-1	6.51E-01	5.65E-01
hsa-miR-758	-5.47E-01	5.65E-01
hsa-miR-665	5.76E-01	5.52E-01
hsa-miR-335	8.10E-01	3.60E-01
hsa-miR-431	-5.30E-01	4.94E-01
hsa-miR-877	-6.27E-01	5.27E-01
hsa-miR-493*	5.32E-01	5.87E-01
hsa-miR-187*	-5.74E-01	5.54E-01
hsa-miR-3925-5p	-2.18	4.67E-01
hsa-miR-1305	2.27E-01	2.92E-01
hsa-miR-486-3p	-7.44E-01	3.37E-01
hsa-miR-3196	-4.59E-01	1.95E-01
hsa-miR-20a	5.97E-01	1.81E-01
hsa-miR-485-3p	5.44E-01	5.48E-01
hsa-miR-4312	4.74E-01	8.12E-02
hsa-miR-221*	6.32E-01	5.77E-01
hsa-miR-495	-6.10E-01	5.53E-01
hsv1-miR-H8	-5.40E-01	5.51E-01
hsa-miR-610	-5.26E-01	6.39E-01
hsa-miR-3911	-5.19E-01	3.25E-01
hsa-miR-2114*	-6.56E-01	3.86E-01
hsa-miR-498	-4.17E-01	6.55E-01
hsa-miR-4259	-5.02E-01	6.36E-01
hsa-miR-3613-3p	4.97E-01	8.53E-02
hsa-miR-20a*	4.68E-01	6.04E-01
hsa-miR-194*	-5.36E-01	3.11E-01
hsv1-miR-H7*	3.20E-01	3.62E-01
hsa-miR-140-5p	4.37E-01	2.60E-01
hsa-miR-423-3p	2.62E-01	6.47E-01
hsa-let-7f-1*	4.44E-01	8.31E-02
hsa-miR-363	9.14E-01	4.30E-01
hsa-miR-3610	-6.40E-01	5.26E-01
hsa-miR-34b	1.43	1.67E-01
hsv1-miR-H1	-4.57E-01	5.62E-01
hsa-miR-378b	4.10E-01	5.55E-01
hsa-miR-1185	-5.40E-01	2.92E-01
hsa-miR-3156-5p	-2.87E-01	3.56E-01
hsa-miR-4328	-2.75E-01	7.61E-01
hsa-miR-1237	2.86E-01	6.28E-01
hsa-miR-425*	3.05E-01	6.11E-01
hsa-miR-3180-5p	1.85E-01	7.77E-01
hsa-miR-3660	-3.00E-01	7.57E-01
hsa-miR-10a*	5.78E-01	3.16E-01
hsa-miR-933	1.67E-01	8.01E-01
hsa-miR-3654	-4.46E-01	7.05E-01
hsa-miR-873	2.40E-01	5.40E-02
hsa-miR-1238	3.04E-01	5.39E-01
hsa-miR-28-3p	9.42E-02	9.02E-01
hsa-miR-3614-5p	1.82E-01	8.55E-01
hsa-miR-483-3p	-1.66E-01	8.79E-01
hsa-miR-1306	-6.02E-02	9.52E-01
hsa-miR-450a	-1.83E-01	8.75E-01
hsa-miR-324-5p	3.00E-01	3.60E-01
hsa-miR-598	1.48E-01	8.89E-01
hsa-miR-3173-3p	-3.53E-01	6.77E-01
hsa-miR-224*	-3.81E-01	7.36E-01
hsa-miR-3646	2.77E-01	7.54E-01
hsa-miR-153	-8.97E-02	9.25E-01
hsa-miR-505	4.34E-01	5.57E-01
hsa-miR-3663-5p	-7.41E-02	9.30E-01
hsa-miR-505*	-1.71E-01	8.27E-01
hsa-miR-1915	-5.12E-01	1.92E-01
hsa-miR-3132	-3.25E-01	7.45E-01
hsa-miR-636	-4.19E-03	9.95E-01
hsa-miR-1972	-3.09E-01	6.08E-01
hsa-miR-136*	-3.05E-01	7.78E-01
hsa-miR-338-5p	-2.30E-02	9.77E-01
hsa-miR-494	-7.85E-01	1.75E-01
hsa-miR-101*	-1.11E-01	8.95E-01
hsa-miR-150*	-3.06E-01	3.63E-01
hiv1-miR-H1	-4.81E-01	4.05E-01
hsa-miR-34c-5p	1.32E-01	8.92E-01
hsa-miR-3195	-2.76E-01	2.86E-01
hsa-miR-638	-5.28E-01	1.95E-01
hsa-miR-31*	-4.11E-01	6.81E-01
hsa-miR-2277-3p	-9.52E-02	9.22E-01
hsa-miR-133b	-3.69E-02	9.68E-01
hsa-miR-155	3.18E-01	3.82E-01
hsa-miR-500a	2.32E-01	7.18E-01
kshv-miR-K12-8*	7.01E-02	9.35E-01
hsa-miR-1909*	3.73E-01	6.25E-01
hsa-miR-144	-7.41E-01	4.68E-01
hsa-miR-3200-5p	-1.91	6.59E-01
