"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"change"
"hsa-miR-33a-5p"	1.32651267565213	4.75922692209805	174.272318168749	8.63208134776712e-40	2.47452998635991e-38	"UP"
"hsa-miR-5694"	5.58483049448613	3.63447985445026	169.612355963045	8.99150446510792e-39	2.54493721316219e-37	"UP"
"hsa-miR-491-5p"	-1.79920485373679	5.95310610521848	167.189829612741	3.04064030468566e-38	8.49858965159641e-37	"DOWN"
"hsa-miR-494-5p"	-0.688376271664777	3.29082993072883	166.753437130727	3.78693105884066e-38	1.0453799811812e-36	"NOT"
"hsa-miR-144-5p"	1.85759124871323	11.2742430999392	166.078635972877	5.31727159224718e-38	1.44992918052009e-36	"UP"
"hsa-miR-548v"	1.41955300239504	2.79465232179213	163.505028690846	1.9404029531514e-37	5.2273987990922e-36	"UP"
"hsa-miR-4779"	-1.70971458540764	1.23196932912409	163.175381651023	2.29037662048328e-37	6.09676443261978e-36	"DOWN"
"hsa-miR-1322"	-1.13731088767609	8.96459102296656	163.133065315888	2.33965287338128e-37	6.15466332338888e-36	"DOWN"
"hsa-miR-718"	1.83703390448787	2.17072705215635	157.429828244259	4.12313489278943e-36	1.07201507212525e-34	"UP"
"hsa-miR-935"	1.36594066217453	2.62424425126439	154.842873198264	1.51541267571792e-35	3.89478476196007e-34	"UP"
"hsa-miR-877-5p"	1.47309611854437	3.56370313926491	154.576418029073	1.73284702833777e-35	4.40300676745825e-34	"UP"
"hsa-miR-548e-5p"	-0.709998266184057	3.3220418209004	152.939897462441	3.94828272495667e-35	9.91950581236305e-34	"NOT"
"hsa-miR-548f-3p"	2.49740094229639	1.73478789279248	152.82088186839	4.19197858809602e-35	1.04147379144252e-33	"UP"
"hsa-miR-296-5p"	1.89619852427321	3.80076958704995	151.446423346022	8.37174110237606e-35	2.05705638515526e-33	"UP"
"hsa-miR-3130-5p"	-0.53097783051663	3.45455327079151	150.316974197557	1.47800937203958e-34	3.59220538682663e-33	"NOT"
"hsa-miR-9-5p"	1.29402225472813	10.1404548885864	149.042865258446	2.80653804528323e-34	6.74776244005732e-33	"UP"
"hsa-miR-4685-5p"	1.13634067506004	3.62952238829355	147.694371367913	5.53274347500793e-34	1.31608663937423e-32	"UP"
"hsa-miR-6866-3p"	2.47405667879401	1.57805684262549	145.754569099855	1.46891364431773e-33	3.4573588512573e-32	"UP"
"hsa-miR-601"	1.52586332422771	7.01306620610993	143.683354979415	4.16697616668724e-33	9.70558198824237e-32	"UP"
"hsa-miR-4426"	-1.73728496349588	2.09896759292043	143.580858994709	4.38763616023548e-33	1.01141798497799e-31	"DOWN"
"hsa-miR-1258"	-0.984333350086824	6.44716483847542	142.224254189944	8.68654647459074e-33	1.98195080787601e-31	"NOT"
"hsa-miR-152-5p"	-1.88529370735689	2.65569565363116	141.043657386093	1.57396777478923e-32	3.5549413580088e-31	"DOWN"
"hsa-miR-589-5p"	-1.19878870920599	2.32210950015985	139.565498292454	3.31306719022516e-32	7.40801823734347e-31	"DOWN"
"hsa-miR-769-3p"	-2.11406007779386	1.19199622459791	139.505245498273	3.41512370653819e-32	7.56061050279147e-31	"DOWN"
"hsa-miR-626"	-1.34703404620057	5.74459459634759	137.661170303614	8.64353804035267e-32	1.89479912335574e-30	"DOWN"
"hsa-miR-3184-5p"	0.807148818198947	3.37089667674915	136.500255798182	1.55093652415511e-31	3.36688744467071e-30	"NOT"
"hsa-miR-323a-5p"	-1.20709765083387	5.10049702255907	136.310379451476	1.70656620055142e-31	3.66911733118555e-30	"DOWN"
"hsa-miR-514b-5p"	2.04174731871852	2.81881158362918	136.102307162467	1.89510152911511e-31	4.03566382771561e-30	"UP"
